t_index	term	df
408	ancestri	1
409	anchor	8
410	anchorag	2
411	anchorman	3
412	ancient	4
413	andean	6
414	anderson	4
415	andi	5
416	andjelkov	1
417	andoslavia	1
418	andr	48
419	andrea	14
420	andrei	2
421	andrew	15
422	andrik	1
423	anew	7
424	angel	13
425	anger	46
426	angl	12
427	anglican	1
428	angri	27
429	angrili	4
430	anguish	8
431	anim	2
432	animist	2
433	animos	11
434	anjana	1
435	anjar	6
436	anjay	1
437	ank	2
438	ankl	9
439	ann	11
440	anna	21
441	annabel	1
442	annacon	1
443	annan	13
444	anniversari	15
445	announc	164
446	annoy	2
447	annual	18
448	annul	11
449	anomali	1
450	anonym	63
451	anoth	263
452	answer	51
453	antagon	1
454	antasiaovich	1
455	antenna	2
456	anthem	6
457	anthoni	27
458	anthropologist	2
459	anti	85
460	antiballist	1
461	antibiot	5
462	anticip	17
463	anticlimact	1
464	antonia	6
465	antonin	1
466	antonio	26
467	anwar	4
468	anxieti	3
469	anxiou	11
470	anxious	2
471	anybodi	14
472	anymor	9
473	anyon	58
474	anyth	94
475	anytim	4
476	anyway	13
477	anywher	18
478	aon	1
479	ap	20
480	apart	69
481	ape	1
482	apec	4
483	apex	1
484	apolit	1
485	apolog	18
486	appal	1
487	appallingli	1
488	appar	193
489	apparatu	7
490	appeal	95
491	appear	196
492	appel	1
493	appetit	2
494	appl	3
495	applaud	10
496	applaus	8
497	appleton	2
498	appli	18
499	applic	16
500	appoint	68
501	appointe	3
502	apprais	2
503	appreci	16
504	apprehend	4
505	apprehens	2
506	apprentic	3
507	appris	1
508	approach	49
509	appropri	18
510	approv	25
511	approxim	12
512	april	67
513	aprista	4
514	apron	1
515	aquil	2
516	ar	3
517	arab	61
518	arabi	1
519	arabia	71
520	arabian	44
521	arafat	16
522	arantxa	3
523	arazi	7
524	arbadi	1
525	arbit	1
526	arbitrari	2
527	arbitrarili	1
528	arc	1
529	arch	2
530	archaeolog	2
531	archbishop	4
532	archer	1
533	archeri	4
534	archetyp	1
535	archi	5
536	archibald	1
537	architect	7
538	architectur	4
539	arctic	6
540	ardent	4
541	arduou	1
542	are	2
543	area	186
544	arena	22
545	aretz	1
546	argentin	1
547	argentina	10
548	argu	45
549	arguabl	2
550	argument	18
551	ari	1
552	arid	5
553	arif	1
554	arisen	1
555	arithmet	1
556	aritomi	4
557	ariz	8
558	arizona	7
559	ark	8
560	arkadelphia	1
561	arkan	1
562	arkansa	28
563	arkin	2
564	arleigh	3
565	arlen	2
566	arlington	8
567	arm	133
568	armament	2
569	armbrist	1
570	armenia	2
571	armey	1
572	armi	136
573	armitag	1
574	armor	17
575	armori	3
576	arn	3
577	arnaud	17
578	arni	1
579	arno	1
580	arnold	3
581	arnot	1
582	aros	5
583	around	191
584	arous	1
585	arraign	2
586	arrang	38
587	array	6
588	arrear	1
589	arrest	109
590	arriv	180
591	arrog	3
592	arrow	4
593	arsen	10
594	arseni	1
595	arsonist	1
596	art	11
597	arthriti	1
598	arthur	4
599	articl	5
600	articul	1
601	artifact	1
602	artifici	4
603	artist	4
604	artudo	1
605	arturo	6
606	aruba	2
607	aryapov	1
608	asa	1
609	asahi	1
610	ascend	1
611	ascrib	4
612	asean	1
613	ash	5
614	asham	1
615	ashcroft	56
616	ashkroft	1
617	ashok	1
618	ashor	2
619	ashraf	1
620	ashtray	1
621	asia	32
622	asian	15
623	asid	30
624	ask	196
625	aspect	11
626	aspir	2
627	assad	1
628	assail	4
629	assam	6
630	assassin	21
631	assault	28
632	assembl	19
633	assert	17
634	assess	48
635	asset	10
636	assign	24
637	assist	76
638	associ	119
639	assort	1
640	assum	38
641	assumpt	7
642	assur	35
643	assuredli	2
644	astakhov	12
645	asterisk	2
646	astonish	7
647	astound	2
648	astronom	1
649	astut	1
650	asylum	29
651	asymmetr	2
652	atal	13
653	atck	2
654	ate	4
655	atf	2
656	atfein	1
657	ath	1
658	athal	1
659	athlet	3
660	atlant	15
661	atlanta	6
662	atmat	1
663	atmospher	10
664	atom	4
665	atop	13
666	atp	3
667	atroc	10
668	atrophi	1
669	attach	15
670	attack	306
671	attain	1
672	attar	1
673	attempt	112
674	attend	68
675	attent	64
676	attest	2
677	attitud	10
678	attorney	58
679	attract	15
680	attribut	12
681	attrit	1
682	atwan	1
683	aubrey	19
684	aubri	5
685	audienc	16
686	audio	4
687	audiotap	1
688	auditor	5
689	auditorium	1
690	aug	33
691	augment	1
692	august	32
693	aunt	2
694	aur	5
695	aura	1
696	aurora	4
697	ausi	1
698	aussi	9
699	auster	2
700	austin	18
701	australia	23
702	australian	72
703	austria	3
704	austrian	1
705	austro	1
706	authent	2
707	author	255
708	authoritarian	27
709	auto	1
710	autocrat	27
711	autograph	1
712	autom	1
713	automat	18
714	automobil	4
715	autonom	1
716	autonomi	3
717	autopilot	1
718	autopsi	1
719	autumn	2
720	avail	44
721	avala	1
722	avalanch	1
723	ave	1
724	aveng	7
725	avent	1
726	avenu	4
727	averag	14
728	avert	6
729	aviat	3
730	aviv	4
731	avner	2
732	avoid	59
733	avow	1
734	aw	10
735	awad	2
736	await	27
737	awaken	2
738	awar	18
739	award	9
740	away	167
741	awe	4
742	aweigh	1
743	awkward	4
744	awn	4
745	awok	1
746	axam	1
747	axe	1
748	ay	2
749	ayatollah	1
750	aykroyd	1
751	ayman	5
752	aynaoui	1
753	ayr	1
754	ayyam	2
755	az	1
756	aziz	1
757	azul	1
758	azulay	2
759	b	17
760	b10202000_bt	1
761	b92	1
762	ba	2
763	babenko	2
764	babi	14
765	babkin	6
766	baboa	1
767	back	380
768	backa	1
769	backbo	1
770	backcourt	1
771	backdrop	4
772	backer	14
773	backfir	5
774	background	4
775	backhand	14
776	backho	1
777	backlash	3
778	backstop	2
779	backup	2
780	backward	3
781	backyard	1
782	bacon	18
783	bad	39
784	badawi	1
785	badg	3
786	badli	39
787	badrasen	5
788	baffl	2
789	bag	14
790	bagad	1
791	baggag	1
792	baghbel	1
793	baghdad	2
794	bahg	5
795	bahrain	35
796	bai	1
797	baijubahi	2
798	bail	4
799	bailey	6
800	baird	1
801	bairnt	1
802	bait	1
803	bakarec	3
804	bake	2
805	baken	1
806	baker	5
807	bakhshish	1
808	bakri	5
809	balanc	21
810	balawat	1
811	balcacer	2
812	balconi	11
813	bald	1
814	balint	1
815	balk	4
816	balkan	25
817	ball	30
818	ballard	1
819	ballast	2
820	ballena	1
821	ballist	2
822	ballo	1
823	balloon	3
824	ballot	72
825	ballroom	2
826	balonia	1
827	balsamo	1
828	baltimor	3
829	baltin	1
830	bamba	3
831	bambi	1
832	bamboo	4
833	bament	1
834	ban	24
835	banco	1
836	band	11
837	bandag	8
838	bandanna	3
839	bandit	1
840	bang	7
841	bangalor	1
842	bangaru	3
843	bangladesh	5
844	bank	69
845	banker	10
846	bankrupt	5
847	bankruptci	4
848	banner	9
849	bannon	1
850	banquet	1
851	baptist	6
852	bar	54
853	barak	9
854	barb	4
855	barbar	2
856	barbara	24
857	barber	1
858	barbershop	1
859	barcelona	1
860	bare	46
861	barefacedli	1
862	barent	36
863	barg	3
864	bargain	9
865	bari	1
866	bark	1
867	barkina	2
868	barkolla	1
869	barkova	3
870	barna	4
871	barney	1
872	barnstorm	1
873	barot	1
874	barov	1
875	barr	2
876	barrack	35
877	barrag	2
878	barrel	2
879	barrera	2
880	barri	1
881	barricad	18
882	barrier	12
883	bartlett	1
884	barua	5
885	base	188
886	basebal	5
887	baselin	16
888	basement	1
889	basher	1
890	bashraheel	1
891	bashrahel	1
892	basi	15
893	basic	43
894	basilica	1
895	bask	2
896	basket	3
897	basketbal	1
898	basset	1
899	bassiouni	1
900	bastion	6
901	batch	1
902	bath	4
903	bathroom	3
904	bathtub	1
905	batic	2
906	baton	4
907	battalion	3
908	batten	1
909	batter	8
910	batteri	2
911	battl	78
912	battlefield	4
913	battleground	8
914	bauman	6
915	bautista	1
916	bavaria	1
917	bay	7
918	bazaar	1
919	bbc	29
920	be	1
921	beach	17
922	beachfront	1
923	bead	1
924	beal	1
925	beam	14
926	bean	3
927	bear	23
928	beard	20
929	bearer	2
930	beat	79
931	beaten	31
932	beater	3
933	beaumont	1
934	beauti	6
935	beaver	1
936	becam	104
937	becausec	1
938	beci	2
939	becker	1
940	becom	115
941	bed	35
942	bedanova	2
943	bedi	12
944	bedouin	1
945	bedroom	6
946	bedsheet	1
947	beef	6
948	beer	2
949	befit	1
950	befriend	1
951	befuddl	1
952	beg	4
953	began	156
954	beggar	1
955	begin	151
956	begun	31
957	behalf	8
958	behan	1
959	behari	3
960	behav	9
961	behavior	11
962	behind	155
963	beholden	3
964	beij	3
965	beirut	9
966	bekki	3
967	belaru	1
968	belch	1
969	beleagu	3
970	belgian	5
971	belgium	6
972	belgrad	100
973	beli	1
974	belida	3
975	belief	17
976	believ	292
977	belittl	1
978	bell	4
979	belliger	1
980	belong	31
981	belov	5
982	belt	8
983	bema	2
984	bemoan	1
985	ben	5
986	bench	4
987	benchmark	1
988	bend	2
989	beneath	31
990	benefactor	2
991	benefici	1
992	beneficiari	1
993	benefit	17
994	benevol	7
995	benign	1
996	benin	8
997	benito	1
998	benjamin	2
999	bennett	1
1000	benni	1
1001	bent	13
1002	benton	1
1003	bequeath	1
1004	berat	1
1005	bere	1
1006	beresich	1
1007	beretta	1
1008	bergen	1
1009	berger	25
1010	berlin	8
1011	bernstein	2
1012	bershard	1
1013	bershevski	1
1014	berth	2
1015	beschloss	1
1016	beset	2
1017	besid	27
1018	besieg	4
1019	bespectacl	2
1020	best	101
1021	bet	5
1022	beta	8
1023	beth	1
1024	betray	4
1025	betrisia	1
1026	better	119
1027	bevan	1
1028	beveneari	1
1029	bewild	1
1030	beyond	37
1031	bhaba	2
1032	bhachau	4
1033	bhagat	1
1034	bhakta	1
1035	bharatiya	3
1036	bharpi	3
1037	bhaskar	5
1038	bhat	1
1039	bhatt	1
1040	bhavesh	1
1041	bhowmik	1
1042	bhug	1
1043	bhuj	33
1044	bia	1
1045	biafran	2
1046	biarritz	3
1047	bias	8
1048	bibl	4
1049	biblic	1
1050	bicker	3
1051	bicycl	5
1052	bid	50
1053	bidanora	1
1054	big	76
1055	bigger	8
1056	biggest	39
1057	bigot	1
1058	bihari	10
1059	bilater	8
1060	bilingu	1
1061	bill	68
1062	billboard	2
1063	billet	1
1064	billi	4
1065	billion	59
1066	billionair	9
1067	billow	13
1068	biltera	1
1069	bimal	2
1070	bin	87
1071	bind	5
1072	bindra	3
1073	bingaman	2
1074	bingo	1
1075	binocular	5
1076	biogeneticist	1
1077	biograph	3
1078	biographi	4
1079	biolog	4
1080	bion	1
1081	bipartisan	2
1082	bipartisanship	1
1083	bird	3
1084	birger	1
1085	birth	9
1086	birthday	6
1087	birthmark	1
1088	birthplac	1
1089	biscuit	3
1090	bishop	2
1091	bit	46
1092	bite	2
1093	biter	1
1094	bitka	1
1095	bitten	1
1096	bitter	20
1097	bitterli	10
1098	bittersweet	2
1099	bizarr	10
1100	bjorn	1
1101	black	58
1102	blacken	4
1103	blackmail	5
1104	blackout	4
1105	blade	1
1106	blair	15
1107	blakemor	1
1108	blame	56
1109	blanchard	1
1110	blanco	7
1111	bland	1
1112	blanda	1
1113	blank	3
1114	blanket	35
1115	blankli	2
1116	blare	1
1117	blast	109
1118	blatant	2
1119	blaze	6
1120	bleach	1
1121	bleacher	1
1122	bleak	1
1123	bled	1
1124	bleed	2
1125	blemish	1
1126	blend	4
1127	bless	9
1128	blew	42
1129	blind	8
1130	blindli	5
1131	blink	3
1132	blister	2
1133	blitz	1
1134	blitzer	1
1135	blizzard	5
1136	bloat	4
1137	bloc	7
1138	block	83
1139	blockad	15
1140	blocker	1
1141	blocki	1
1142	blokosso	1
1143	blond	6
1144	blood	34
1145	bloodbath	2
1146	bloodi	8
1147	bloodiest	1
1148	bloodless	2
1149	bloodsh	9
1150	bloodstain	1
1151	bloomberg	1
1152	bloomer	1
1153	blous	1
1154	blow	25
1155	blown	11
1156	blowtorch	1
1157	blue	46
1158	blueprint	11
1159	bluf	5
1160	blunk	1
1161	blunt	2
1162	bluntli	2
1163	blur	2
1164	blurb	1
1165	blusteri	1
1166	blvd	1
1167	bo	5
1168	board	63
1169	boarder	5
1170	boardwalk	1
1171	boast	3
1172	boat	117
1173	boater	1
1174	boatmen	1
1175	bob	24
1176	bobbi	6
1177	bobic	1
1178	bodi	188
1179	bodien	1
1180	bodin	9
1181	bodon	1
1182	bodyguard	10
1183	boe	2
1184	bog	2
1185	boga	1
1186	bogg	1
1187	bogu	4
1188	bohdan	2
1189	boigni	6
1190	boil	1
1191	boister	1
1192	bojic	1
1193	bold	3
1194	boldli	1
1195	bolivia	1
1196	bolona	2
1197	bolster	12
1198	bolt	1
1199	bomb	259
1200	bombard	2
1201	bombay	5
1202	bomber	57
1203	bombet	2
1204	bombey	1
1205	bombmak	4
1206	bombshel	1
1207	bond	17
1208	bone	53
1209	bonecardi	1
1210	bonfir	3
1211	bonilla	1
1212	bonni	1
1213	bono	1
1214	bonu	1
1215	boo	3
1216	boobi	3
1217	book	26
1218	bookend	1
1219	boom	7
1220	boost	14
1221	booster	1
1222	boot	5
1223	booth	8
1224	bor	1
1225	border	53
1226	bore	3
1227	borg	1
1228	bori	7
1229	borisav	1
1230	borislav	3
1231	borisov	1
1232	borivoj	1
1233	bork	1
1234	borka	1
1235	born	47
1236	borneo	4
1237	borotra	1
1238	borrow	2
1239	borzon	1
1240	bosnia	16
1241	bosnian	5
1242	boss	10
1243	boston	17
1244	botch	5
1245	bother	9
1246	bottl	5
1247	bottom	28
1248	bouak	1
1249	boucher	8
1250	bouffard	1
1251	bought	10
1252	boulevard	1
1253	bounc	7
1254	bound	15
1255	boundari	2
1256	bounti	1
1257	bout	5
1258	bow	11
1259	bowel	2
1260	bowen	2
1261	bowl	1
1262	bowman	1
1263	bowmen	1
1264	bowrey	1
1265	box	17
1266	boxer	1
1267	boy	35
1268	boycot	26
1269	boycott	18
1270	boyd	1
1271	boyfriend	4
1272	bozov	3
1273	braca	2
1274	brace	4
1275	braci	1
1276	bracket	1
1277	brad	6
1278	bradi	1
1279	bradman	1
1280	bradshaw	1
1281	brag	4
1282	brain	2
1283	brainwash	3
1284	brake	1
1285	branch	9
1286	brand	6
1287	brandish	6
1288	brandon	1
1289	brash	2
1290	brass	4
1291	brave	6
1292	bravent	1
1293	braveri	2
1294	bravo	4
1295	brazen	1
1296	brazil	2
1297	brazilian	1
1298	breach	3
1299	bread	1
1300	breadbasket	2
1301	break	111
1302	breakaway	2
1303	breakdown	3
1304	breaker	1
1305	breakfast	6
1306	breakout	9
1307	breakthrough	12
1308	breakup	3
1309	breast	4
1310	breath	6
1311	breaux	1
1312	breed	5
1313	breez	6
1314	breme	1
1315	bremer	1
1316	brenton	2
1317	brevant	1
1318	brew	3
1319	brewer	1
1320	brian	15
1321	bribe	40
1322	briberi	10
1323	brick	12
1324	bride	1
1325	bridg	19
1326	bridgett	1
1327	brie	6
1328	brief	63
1329	briefli	24
1330	brien	1
1331	brig	1
1332	brigad	3
1333	bright	11
1334	brighten	2
1335	brighter	1
1336	brightest	2
1337	brightli	1
1338	brilliant	3
1339	brim	1
1340	bring	126
1341	brink	6
1342	brisk	1
1343	briskli	3
1344	bristl	3
1345	britain	37
1346	british	56
1347	briton	3
1348	broad	14
1349	broadcast	59
1350	broaden	2
1351	broader	9
1352	broadli	3
1353	broder	1
1354	brokaw	1
1355	broke	91
1356	broken	49
1357	broker	7
1358	brokerag	1
1359	bronco	1
1360	bronxvil	1
1361	bronz	2
