33
t_index	tf-idf
105	0.1309987671078264
218	0.15875967241024588
700	0.21537639732944425
885	0.09237951581167803
1550	0.2942303160978568
2030	0.06965571141967425
2142	0.25789084873562096
2359	0.051246448422709215
3661	0.0834287035131055
3945	0.28539492520994497
4004	0.08510076953964826
4027	0.057453254482408234
4490	0.3305697834600927
4917	0.06449481642729545
4941	0.1540333416412921
5978	0.04036854103038522
6045	0.232437242459019
6221	0.08045820100188841
6379	0.07244008798173597
6474	0.21837302830835992
7277	0.08966249493208733
7337	0.14647080066927648
8055	0.07722760401689266
9274	0.24619215323847488
9429	0.1371737511517672
9612	0.09237951581167803
9723	0.30931255775700434
9860	0.264891468258004
11717	0.12341884037231136
11732	0.20252541875914284
11767	0.15138941490996835
11953	0.11097052528862393
11971	0.10116297934492165
