305
t_index	tf-idf
22	0.24645963173678873
67	0.01965032031464594
78	0.0195778601584457
83	0.019154912033642175
102	0.03989225041381409
110	0.020021617203480613
131	0.020330065743145595
158	0.02316377581556042
177	0.05688219401843974
187	0.056052386235384374
234	0.033084926080528224
326	0.03803644789957064
339	0.01712811790772754
340	0.022489768328611794
445	0.06851247163091016
450	0.051518050213954523
491	0.046560292992066765
543	0.015992521879227815
567	0.01901822394978532
572	0.01881699833676697
583	0.015753217636872017
624	0.031040195328044508
720	0.05799431054508762
767	0.009547525614296976
794	0.048616114549665045
824	0.07366321872079086
830	0.15967318674906483
852	0.027149655531680465
900	0.046971347856186646
955	0.017873151444126566
956	0.03215641576831587
1101	0.0265050069998498
1108	0.026821574250978544
1138	0.023271815920607536
1167	0.048616114549665045
1178	0.01589603709911907
1268	0.03374316785062775
1301	0.02064943505702274
1349	0.026350793997681123
1367	0.020251959273014833
1454	0.04236306682283007
1465	0.06313524174527471
1516	0.00976375745358552
1522	0.060639401073483215
1528	0.027689397088022375
1535	0.052911865718118616
1541	0.03932766970464848
1557	0.02590336804148091
1568	0.017407435605123686
1656	0.019086309110290713
1736	0.03215641576831587
1778	0.0313230937904369
1883	0.0728020720579666
1893	0.057881109280280875
1968	0.07050040599875755
1990	0.04213046808108362
2006	0.03932766970464848
2078	0.02338116563456251
2081	0.030319700536741608
2083	0.13289450895572422
2100	0.03215641576831587
2116	0.02123707239695782
2153	0.03737059809933441
2173	0.035250202999378775
2265	0.0939692813713107
2269	0.03932766970464848
2342	0.009290092710752429
2348	0.141623541853951
2359	0.03527255747848374
2363	0.02899715527254381
2368	0.015659245527293385
2465	0.06319570212162544
2583	0.03657274826357658
2615	0.0075155217498106795
2655	0.02371739986741984
2660	0.02132423482329087
2662	0.016594160837596707
2664	0.06504467520512268
2686	0.03672844911680352
2747	0.11372053772854421
2765	0.01628832677148892
2772	0.035250202999378775
2812	0.014195460517856598
2837	0.021865671750127578
2922	0.021412247628183813
2942	0.046971347856186646
3000	0.03999621557746272
3020	0.04071830012935168
3132	0.06551610945336954
3143	0.038705268387411944
3252	0.04768811129735721
3290	0.028026193117692187
3343	0.04530490493881892
3344	0.0708117709269755
3414	0.03932766970464848
3528	0.08472613364566015
3548	0.045580717431483446
3561	0.027843939627220402
3562	0.05498024024758558
3572	0.011268582326459761
3580	0.02234309748508533
3619	0.0361100190959951
3649	0.028596145211920297
3722	0.028596145211920297
3858	0.02224556960606278
3883	0.07689616262007234
4004	0.01464356007801053
4027	0.019772328458167548
4084	0.012530845101418372
4091	0.09116143486296689
4113	0.02507004606360194
4122	0.020021617203480613
4156	0.023271815920607536
4183	0.024554406240263622
4191	0.04071830012935168
4194	0.046971347856186646
4204	0.022744107545708842
4208	0.08247036037137837
4247	0.03757614151727187
4284	0.39415610697764086
4294	0.02394872641242248
4297	0.014077018016310628
4359	0.020330065743145595
4529	0.03141221844402362
4554	0.39415610697764086
4563	0.05322439558302161
4577	0.027843939627220402
4580	0.04331354942076853
4653	0.034146554736701966
4758	0.027149655531680465
4782	0.046971347856186646
4941	0.0265050069998498
4977	0.012079689047606217
4989	0.03930064062929188
5119	0.01965032031464594
5157	0.03056028121927583
5174	0.04331354942076853
5198	0.0237860720495288
5285	0.017407435605123686
5327	0.02418614119180228
5358	0.07050040599875755
5367	0.03999621557746272
5374	0.019946125206907046
5468	0.05533059071003756
5469	0.06680540651703086
5618	0.03056028121927583
5635	0.03999621557746272
5662	0.13939677175502105
5772	0.008411419060291556
5908	0.028596145211920297
5971	0.04654363184121507
5978	0.006946343247397647
5980	0.0173508759154902
5998	0.06551610945336954
6015	0.03446525240251671
6025	0.016338584511200783
6027	0.06990014965133275
6036	0.05976302897806245
6038	0.01556624221959996
6089	0.020251959273014833
6132	0.01034111311076174
6248	0.045580717431483446
6321	0.03484919293875526
6329	0.023602276077541853
6378	0.015428510674872591
6406	0.022744107545708842
6421	0.010419219580892505
6453	0.052701587995362245
6517	0.029634213361397474
6523	0.025477088381853055
6700	0.04150325072621374
6746	0.036714715991102834
6759	0.06282443688804724
6786	0.031061590235873782
6796	0.020408854374488517
6845	0.031870003111099866
6891	0.02073107580376911
6900	0.0751375030712454
6993	0.02962437262741369
7011	0.03446525240251671
7144	0.0322971614008128
7196	0.08144896659504139
7254	0.05688219401843974
7386	0.04331354942076853
7388	0.036477855062150205
7414	0.057588844450317714
7445	0.019871191620003056
7446	0.02857689944390401
7497	0.00533723367917906
7513	0.017018768193772568
7517	0.02418614119180228
7520	0.04768811129735721
7538	0.03817261822058143
7546	0.019946125206907046
7573	0.015520097664022254
7664	0.06551610945336954
7760	0.03566987126923036
7791	0.027386154960144155
7793	0.06282443688804724
7913	0.13119403050076547
7943	0.020568526524143576
7945	0.026199172933742014
8123	0.02962437262741369
8128	0.028232652635838087
8157	0.028212204675681744
8158	0.022149084825954034
